# name           file_location  xspb/lumipb  otherscale nMCevents       nMCNegEvents    colorcode       stackit
data	/store/user/jlawhorn/WWTree_2018_11_16_09h23/SingleMuon_2018_11_16_09h23.root 35867.06	1	1	0	1	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusTo2JZTo2LJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.02982	1	189086.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusToLNuWminusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.03259	1	189560.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusToLNuZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.1	1	199542.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusTo2JWminusToLNuJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.9107	1	1983847.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusTo2JZTo2LJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.05401	1	198922.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuWminusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.9114	1	1991227.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuWplusTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.08793	1	198848.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.1825	1	393171.0	0.0	840	0
WV_EWK	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ZTo2LZTo2JJJ_EWK_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.01589	1	99997.0	0.0	840	0
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusTo2JZTo2LJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.3488	1	489280.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusToLNuWminusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.03203	1	99657.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WminusToLNuZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	1.166	1	981540.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusTo2JWminusToLNuJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	5.568	1	3994663.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusTo2JZTo2LJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.575	1	499432.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuWminusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	5.546	1	3949170.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuWplusTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.07584	1	99992.0	0.0	400	1
